Name,X,Y
SPC_00_KM,308160.7464,6273111.063
CAD_00_KM,308393.2215,6273639.202
CAT_10_KM,309032.5951,6282000.024
CAT_11_KM,308244.7326,6281619.733
CAT_12_KM,308347.5701,6280706.503
CAT_13_KM,307981.644,6279987.338
CAT_14_KM,308528.1477,6279456.253
CAT_15_KM,308038.4466,6278804.656
CAT_16_KM,308502.3661,6278194.117
CAT_17_KM,308319.5148,6277354.666
CAT_18_KM,307888.1152,6277118.729
CAT_19_KM,307585.5253,6276762.656
CAT_20_KM,307652.702,6276016.324
CAT_21_KM,308074.9051,6275671.71
CAT_22_KM,308752.8416,6275366.229
CAT_23_KM,308369.5939,6274691.752
CAT_24_KM,307837.3624,6274459.483
CAT_25_KM,308088.6405,6273800.323
CAT_26_KM,308766.4533,6273415.837
CAT_27_KM,309362.5579,6272775.395
CAT_28_KM,309893.2622,6272105.923
CAT_29_KM,310696.3678,6271686.304
CAT_30_KM,311242.4628,6271092.098
CAT_31_KM,311576.1313,6270265.745
CAT_32_KM,312259.9127,6269615.64
CAT_33_KM,312975.4572,6269228.582
CAT_34_KM,313151.9,6268418.585
CAT_09_KM,308916.9409,6282697.966
CAT_095_KM,309005.6602,6282422.084
CAT_125_KM,308017.5988,6280449.632
SPC_0055_KM,307726.2852,6273008.885
SPC_003_KM,307901.6417,6273141.148
SPC_008_KM,307515.1528,6273103.474
CAT_342_KM,313055.8367,6268261.912
CAT_3395_KM,313155.5419,6268464.372
CAT_335_KM,313175.6151,6268630.903
CAT_345_KM,313127.6428,6268033.587
CAD_003_KM,308299.5137,6273343.878
SPC_0075_KM,307560.8697,6273088.565
SPC_0083_KM,307487.892,6273090.942
