17-Jan-1996,
22-Apr-1996,,,
25-Jul-1996,,,
15-Oct-1996,,,
13-Jan-1997,
08-Apr-1997,,,
30-Jul-1997,,,
13-Oct-1997,,,
14-Jan-2009,,,
07-Apr-2009,,,
11-Jul-2008,,,
14-Oct-2008,,,
15-Jan-2010,
15-Apr-2010,
09-Jul-2009,,,
12-Oct-2009,
16-Feb-1996,
22-May-1996,,,
29-Aug-1996,,,
12-Nov-1996,,,
11-Feb-1997,
05-May-1997,,,
28-Jul-1997,,,
11-Nov-1997,,,
11-Jul-2008,,,
14-Oct-2008,,,
14-Jan-2009,,,
07-Apr-2009,,,
09-Jul-2009,,,
12-Oct-2009,
15-Jan-2010,
15-Apr-2010,
01-Jun-2016,0.4994,,
31-Oct-2016,-0.2517,,
15-Feb-2017,9.7687,-0.2380,
27-Jul-2016,0.1447,,
13-Apr-2017,-0.8634,,
19-Oct-2017,
11-Jan-2018,
26-Jun-2017,-1.0797,,
