Region,Period,run_scenario_0a,run_scenario_0b,run_scenario_1a,run_scenario_1b,run_scenario_2a,run_scenario_2b,run_scenario_3a,run_scenario_3b,
Geogrup,April_June,20.8489,16.3051,15.4468,17.5612,16.0208,17.3847,26.1100,28.4565,
Geogrup,July_Sept,0.4528,3.7989,0.0379,2.4528,0.1201,2.5344,0.7862,4.4321,
Geogrup,Oct_Dec,2.0168,2.2906,1.4297,2.7535,1.4531,2.5529,4.1242,6.8470,
Geogrup,Jan_Mar,14.3185,23.4387,18.2757,26.6910,18.6953,26.6380,29.1912,41.0762,
Serpentine_Lower,April_June,22.2442,8.5117,4.7526,4.7069,4.6887,4.6236,3.5603,8.2635,
Serpentine_Lower,July_Sept,0.6043,1.0101,0.1894,0.5944,0.1178,0.5737,0.1346,1.3224,
Serpentine_Lower,Oct_Dec,3.6697,0.2566,0.0331,0.3075,0.0430,0.2784,0.5822,0.6195,
Serpentine_Lower,Jan_Mar,2.5346,7.6088,3.0727,8.0517,3.2227,8.0027,7.7968,9.0226,
Murray_Mid,April_June,29.1011,58.5956,41.4856,63.3570,42.5754,62.8661,46.7777,69.9466,
Murray_Mid,July_Sept,0.1254,9.9214,0.0000,9.3494,0.0000,9.2921,0.0011,11.2250,
Murray_Mid,Oct_Dec,7.0754,7.4562,7.0603,9.5407,6.8149,9.3936,11.9027,16.8329,
Murray_Mid,Jan_Mar,29.9440,58.9720,44.2925,62.2257,45.8355,60.2774,53.7667,73.2433,
Murray_Delta,April_June,41.1511,23.0364,23.3234,23.8514,23.0647,23.5859,25.3624,27.4437,
Murray_Delta,July_Sept,11.0997,12.4570,9.2568,12.2292,9.1028,12.0720,9.4270,13.1905,
Murray_Delta,Oct_Dec,12.0483,10.9079,8.6822,11.2003,8.1911,11.0284,8.4759,11.1185,
Murray_Delta,Jan_Mar,33.2260,20.7347,25.5199,20.4989,25.2074,20.3798,27.6616,22.2499,
Peel_East,April_June,22.0914,9.9946,9.5332,10.2166,9.3000,10.0314,9.3972,10.1653,
Peel_East,July_Sept,5.4428,5.5519,5.9410,5.6409,5.7860,5.5323,5.7945,5.6268,
Peel_East,Oct_Dec,4.8326,4.0623,3.4497,4.3390,3.1867,4.2146,3.1774,4.0680,
Peel_East,Jan_Mar,19.1804,10.0069,10.1589,9.4814,9.9524,9.3330,9.8988,9.3071,
Peel_South,April_June,59.2344,38.8886,40.1138,39.1295,39.8250,39.0329,40.1714,39.1143,
Peel_South,July_Sept,28.6849,25.0214,26.3714,25.3827,26.2188,25.3176,26.0875,25.4007,
Peel_South,Oct_Dec,27.4917,27.9075,25.6500,27.9238,23.9548,27.7116,23.7525,27.0399,
Peel_South,Jan_Mar,60.6313,46.0199,47.1740,46.1000,46.8461,46.0158,46.7327,46.0819,
Peel_North,April_June,29.8186,18.3252,19.6880,19.2849,19.1088,19.0764,19.3838,18.9389,
Peel_North,July_Sept,3.1162,7.4283,10.3917,8.1115,10.1372,8.0230,10.2478,8.1571,
Peel_North,Oct_Dec,2.6017,9.6223,8.6820,10.0034,8.1942,9.8665,8.1235,9.5261,
Peel_North,Jan_Mar,31.9907,26.9186,25.7672,27.3725,25.4378,27.1130,24.9755,26.8536,
Dawesville_Cut,April_June,4.6505,1.3789,1.2988,1.3981,1.3501,1.4000,1.3085,1.3966,
Dawesville_Cut,July_Sept,0.2593,0.0653,0.1813,0.0773,0.1593,0.0759,0.1832,0.0835,
Dawesville_Cut,Oct_Dec,0.7059,1.1784,1.2661,1.3417,1.2026,1.3466,1.2351,1.3429,
Dawesville_Cut,Jan_Mar,8.7888,4.0134,3.6188,3.8382,3.9223,4.2058,3.9842,4.2108,
Harvey_North,April_June,9.0112,3.8161,2.2851,2.4656,3.9373,4.0105,3.7865,4.0100,
Harvey_North,July_Sept,0.3508,1.0004,1.2606,0.6966,1.8373,1.1399,1.8989,1.1361,
Harvey_North,Oct_Dec,1.1898,3.7011,3.0023,3.4396,3.3368,3.9264,3.4525,3.9044,
Harvey_North,Jan_Mar,10.3033,7.6625,6.6218,7.0260,7.5062,7.8081,7.3348,7.7965,
Harvey_South,April_June,20.5071,6.9379,7.8826,6.3326,8.5088,7.0881,8.6885,7.0839,
Harvey_South,July_Sept,33.1046,3.1931,3.5055,2.8696,4.0450,3.3314,4.0495,3.3289,
Harvey_South,Oct_Dec,22.2468,5.4059,4.7292,5.5104,4.5704,5.7447,4.8258,5.7183,
Harvey_South,Jan_Mar,27.2280,8.5511,9.4153,8.1303,10.1534,9.0074,10.1665,9.0297,
