Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.5428,0.4497,2.7958,
Geogrup,July_Sept,5.5402,0.7048,1.0886,
Geogrup,Oct_Dec,4.8334,0.6743,4.2582,
Geogrup,Jan_Mar,3.9464,0.7083,2.4653,
Serpentine_Lower,April_June,1.0030,0.1999,10.5803,
Serpentine_Lower,July_Sept,3.3278,0.3441,0.9758,
Serpentine_Lower,Oct_Dec,2.1642,0.2361,11.4271,
Serpentine_Lower,Jan_Mar,2.0130,0.2749,23.5584,
Murray_Mid,April_June,0.7662,0.0511,6.6778,
Murray_Mid,July_Sept,0.8625,0.0308,2.3039,
Murray_Mid,Oct_Dec,0.5785,0.0209,5.8868,
Murray_Mid,Jan_Mar,0.9476,0.0453,11.6006,
Murray_Delta,April_June,0.7912,0.0932,13.3922,
Murray_Delta,July_Sept,1.1863,0.0821,2.7870,
Murray_Delta,Oct_Dec,1.1010,0.1022,26.3204,
Murray_Delta,Jan_Mar,1.4603,0.1611,42.3360,
Peel_East,April_June,0.6808,0.0852,13.6536,
Peel_East,July_Sept,1.0158,0.0743,3.7387,
Peel_East,Oct_Dec,1.1107,0.1092,30.4595,
Peel_East,Jan_Mar,1.4470,0.1692,46.1276,
Peel_South,April_June,0.9401,0.1298,21.5495,
Peel_South,July_Sept,0.8285,0.0670,6.0921,
Peel_South,Oct_Dec,1.2176,0.1305,33.6452,
Peel_South,Jan_Mar,1.7086,0.2219,59.7889,
Peel_North,April_June,0.5324,0.0675,9.4517,
Peel_North,July_Sept,0.7466,0.0554,3.8120,
Peel_North,Oct_Dec,0.8849,0.0862,22.1720,
Peel_North,Jan_Mar,1.1400,0.1301,30.2959,
Dawesville_Cut,April_June,0.3076,0.0411,5.2109,
Dawesville_Cut,July_Sept,0.3981,0.0351,3.6820,
Dawesville_Cut,Oct_Dec,0.4135,0.0473,9.5528,
Dawesville_Cut,Jan_Mar,0.5093,0.0655,16.5216,
Harvey_North,April_June,0.7228,0.0911,14.9783,
Harvey_North,July_Sept,0.7904,0.0709,9.8676,
Harvey_North,Oct_Dec,0.7084,0.0716,19.3841,
Harvey_North,Jan_Mar,1.0155,0.1260,30.4283,
Harvey_South,April_June,1.8579,0.2018,47.3930,
Harvey_South,July_Sept,1.3954,0.0998,10.4918,
Harvey_South,Oct_Dec,1.2431,0.1085,31.3279,
Harvey_South,Jan_Mar,2.2703,0.2654,77.0270,
