Year,Bayswater_Inflow,Bennet_Inflow,Canning_Inflow,Ellenbrook_Inflow,Helena_Inflow,Jane_Inflow,Susannah_Inflow,Upper_Swan_Inflow,
2007,6270.91200,4501.18080,270.86400,13621.56480,12094.01280,8970.30720,6030.72000,140164.81920,
2008,11144.30400,7742.82240,22178.53440,12925.00800,14290.30080,10180.68480,3989.77920,186358.06080,
2009,5078.59200,4423.16160,21111.49440,19135.78560,13255.57440,0.00000,5495.21280,242308.71360,
2010,2948.31360,2184.27840,6375.71520,2280.52800,946.77120,434.33280,376.53120,23049.53280,
2011,5093.88480,6890.83200,22292.40960,9240.99840,9529.40160,8292.67200,2979.15840,136841.78880,
2012,5473.00800,2894.65920,10361.60640,3102.45120,2528.58240,4229.10720,2790.89280,33821.88480,
2013,4099.07520,4092.42240,20357.22240,18310.06080,10836.46080,7024.49280,4911.06240,149500.94400,
2014,6899.47200,3737.98368,20472.22080,9719.74080,4053.17088,5868.43488,3965.50080,118038.90240,
2015,5200.81344,3345.12288,11689.31520,4060.02240,3820.36608,506.19168,679.88160,51590.99520,
2016,13994.94240,5599.64448,24116.05440,18818.09280,7864.78464,1176.50016,3705.26400,493685.71200,
2017,36836.60544,7237.01088,21130.32960,17352.92160,8892.55584,1029.55968,3246.56640,184120.21440,
2018,44422.87968,8404.30080,26552.18880,26184.13344,8719.70400,1359.14112,4609.26720,301215.45600,
